game_id,rank_type,rank,best_num_players,not_recommended_num_players,language_dependency,avg_rating,avg_bayes_rating,users_rated,avg_weight,total_owners,updated_at
109,strategygames,2321,4,1,No necessary in-game text,6.08789,5.58972,393,2,765,2024-01-25 10:08:13
109,familygames,2047,4,1,No necessary in-game text,6.08789,5.58972,393,2,765,2024-01-25 10:08:13
110,boardgame,3910,4,1,Moderate in-game text - needs crib sheet or paste ups,6.23423,5.8407,1884,1.9603,3156,2024-01-25 10:08:13
110,familygames,1229,4,1,Moderate in-game text - needs crib sheet or paste ups,6.23423,5.8407,1884,1.9603,3156,2024-01-25 10:08:13
111,boardgame,2776,4,2,No necessary in-game text,6.64261,6.01202,1672,2.4233,2272,2024-01-25 10:08:13
111,strategygames,1282,4,2,No necessary in-game text,6.64261,6.01202,1672,2.4233,2272,2024-01-25 10:08:13
112,boardgame,982,5,2,No necessary in-game text,6.87801,6.62032,10071,1.9588,13059,2024-01-25 10:08:13
112,strategygames,633,5,2,No necessary in-game text,6.87801,6.62032,10071,1.9588,13059,2024-01-25 10:08:13
113,boardgame,6201,4,1,No necessary in-game text,6.72339,5.66878,327,1.8636,576,2024-01-25 10:08:13
113,strategygames,2009,4,1,No necessary in-game text,6.72339,5.66878,327,1.8636,576,2024-01-25 10:08:13
